#{"t_start": 1770256124.9439673, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
1.4,30,89.079844,True
0.0,30,151.293726,False
2.9,30,206.714147,True
0.0,30,268.005225,False
2.8,30,319.535462,True
2.9,30,380.896316,True
0.0,30,449.452595,False
2.5,30,494.093463,True
2.9,30,558.525699,True
0.0,30,624.037656,False
0.0,30,683.885503,False
0.8,30,747.66628,False
0.0,30,802.177235,False
0.0,30,858.035882,False
0.0,30,917.41936,False
0.0,30,979.770427,False
0.0,30,1043.350776,False
2.9,30,1102.884731,True
3.0,30,1173.015647,True
0.0,30,1249.243649,False
2.9,30,1320.992969,True
0.5,30,1373.854161,True
0.0,30,1433.652668,False
0.0,30,1495.029654,False
0.0,30,1561.936229,False
0.0,30,1625.768087,False
0.0,30,1689.519631,False
0.0,30,1754.365975,False
0.0,30,1816.421973,False
2.6,30,1884.345975,True
2.9,30,1956.633163,True
0.0,30,2025.881814,False
0.0,30,2090.87348,False
2.9,30,2143.940033,True
3.0,30,2555.628597,True
2.5,30,2612.544559,True
0.0,30,2676.293846,False
0.0,30,2739.129926,False
0.0,30,2797.21232,False
0.0,30,2860.134053,False
0.0,30,2920.861272,False
2.3,30,2983.614109,True
0.0,30,3050.259931,False
0.0,30,3119.896227,False
0.0,30,3183.676365,False
0.0,30,3244.3997,False
0.0,30,3311.466115,False
0.0,30,3368.351171,False
2.4,30,3435.904836,True
0.0,30,3495.728902,False
0.0,30,3560.996716,False
1.9,30,3623.918727,True
0.1,30,3682.118406,True
0.5,30,3737.368761,False
0.0,30,3799.522497,False
0.0,30,3858.668811,False
0.0,30,3922.456981,False
0.0,30,3982.196637,False
0.5,30,4034.240042,True
2.8,30,4085.692681,True
0.0,30,4149.647815,False
0.0,30,4207.602441,False
0.0,30,4272.024607,False
0.0,30,4333.852537,False
0.0,30,4402.725627,False
0.0,30,4459.063495,False
0.0,30,4516.548049,False
0.0,30,4576.009062,False
0.0,30,5055.101473,False
0.0,30,5116.999718,False
0.0,30,5165.153384,False
0.0,30,5217.861492,False
0.0,30,5285.544304,False
0.0,30,5348.742691,False
2.6,30,5409.54337,True
0.0,30,5470.377236,False
2.8,30,5525.292913,True
0.0,30,5575.588768,False
0.0,30,5632.832605,False
0.0,30,5701.021493,False
0.0,30,5756.087743,False
0.0,30,5816.152536,False
0.0,30,5870.916342,False
0.0,30,5928.028404,False
0.0,30,5983.485892,False
0.0,30,6044.454103,False
0.0,30,6096.675079,False
2.6,30,6153.750147,True
0.0,30,6219.611893,False
0.0,30,6280.855782,False
2.9,30,6345.746647,True
2.6,30,6400.804065,True
0.0,30,6456.448689,False
0.0,30,6519.222058,False
0.0,30,6583.823686,False
0.0,30,6638.262929,False
0.0,30,6692.678385,False
0.0,30,6753.564246,False
0.0,30,6827.921269,False
0.0,30,6881.322024,False
0.0,30,6936.959096,False
0.0,30,7002.813199,False
0.0,30,7422.36785,False
2.7,30,7478.353008,True
0.0,30,7540.458839,False
0.0,30,7599.045219,False
3.0,30,7646.46957,True
0.0,30,7691.778903,False
2.3,30,7748.022432,True
0.0,30,7809.836605,False
1.8,30,7857.248695,True
0.0,30,7925.95799,False
0.0,30,7983.491021,False
0.0,30,8044.743039,False
0.0,30,8104.390191,False
3.0,30,8158.046598,True
0.0,30,8219.110667,False
0.0,30,8267.794961,False
0.0,30,8332.006241,False
0.0,30,8386.873314,False
0.0,30,8447.450433,False
0.0,30,8511.896641,False
0.0,30,8567.737177,False
0.0,30,8627.729313,False
0.0,30,8686.336305,False
2.8,30,8739.739089,True
0.0,30,8800.790875,False
0.0,30,8857.011667,False
0.0,30,8918.202528,False
0.0,30,8974.380296,False
0.0,30,9043.751485,False
0.0,30,9097.016623,False
0.0,30,9168.120854,False
2.5,30,9234.085934,True
0.0,30,9280.130974,False
0.0,30,9337.051582,False
0.0,30,9716.825103,False
0.0,30,9777.850914,False
0.0,30,9841.303561,False
0.0,30,9901.007127,False
0.0,30,9963.088821,False
1.8,30,10021.159547,True
0.0,30,10093.354091,False
0.0,30,10148.944239,False
0.0,30,10200.238914,False
0.0,30,10259.084055,False
0.0,30,10320.457669,False
2.7,30,10388.900683,True
0.0,30,10447.598289,False
0.0,30,10516.974278,False
3.0,30,10587.133043,True
0.0,30,10650.229241,False
2.1,30,10716.379143,True
0.0,30,10767.983875,False
0.0,30,10831.754487,False
0.0,30,10890.679946,False
0.0,30,10949.378705,False
0.0,30,11010.228325,False
2.5,30,11072.770525,True
0.0,30,11134.413319,False
0.0,30,11193.944304,False
0.0,30,11255.28406,False
0.0,30,11307.616636,False
0.0,30,11360.689427,False
0.0,30,11417.859365,False
0.0,30,11475.696926,False
0.0,30,11538.181786,False
0.0,30,11600.344008,False
0.0,30,11654.912943,False
0.0,30,11707.35866,False
0.0,30,12122.127524,False
0.0,30,12185.454856,False
0.0,30,12250.768858,False
3.0,30,12299.966584,True
0.0,30,12359.192845,False
0.0,30,12413.515404,False
0.0,30,12485.026923,False
0.0,30,12546.381037,False
0.0,30,12602.766094,False
0.0,30,12664.379309,False
3.0,30,12720.038433,True
0.0,30,12771.000566,False
0.0,30,12830.111448,False
0.0,30,12884.29585,False
0.0,30,12944.465011,False
0.0,30,13005.436563,False
0.0,30,13068.696702,False
0.0,30,13124.020636,False
0.0,30,13174.973423,False
0.0,30,13230.006847,False
2.7,30,13281.725986,True
0.0,30,13346.376068,False
0.0,30,13406.716757,False
0.0,30,13459.605599,False
1.9,30,13523.187861,True
2.5,30,13580.263496,True
0.0,30,13639.511493,False
0.0,30,13694.794633,False
0.0,30,13758.399517,False
0.0,30,13823.913338,False
0.0,30,13882.966809,False
2.8,30,13942.793209,True
0.0,30,14004.099872,False
0.0,30,14058.512357,False
2.4,30,14469.791195,True
0.0,30,14527.085363,False
0.0,30,14591.61619,False
2.8,30,14656.590234,True
0.0,30,14704.984497,False
0.0,30,14756.106533,False
0.0,30,14806.105065,False
0.0,30,14859.287853,False
0.0,30,14917.713966,False
0.0,30,14974.153107,False
0.0,30,15033.132963,False
0.0,30,15069.77955,False
0.0,30,15125.979038,False
0.0,30,15177.089748,False
0.0,30,15232.500145,False
2.8,30,15290.2655,True
0.0,30,15342.083167,False
0.0,30,15395.795069,False
0.0,30,15452.229455,False
2.7,30,15497.821024,True
0.0,30,15550.79498,False
0.0,30,15606.442196,False
0.0,30,15670.111921,False
2.3,30,15728.884438,True
0.0,30,15793.173133,False
0.0,30,15848.202821,False
0.0,30,15904.800506,False
0.0,30,15963.35575,False
0.0,30,16023.055587,False
0.0,30,16072.29912,False
0.0,30,16134.433911,False
0.0,30,16186.846561,False
0.0,30,16250.861731,False
0.0,30,16310.739075,False
1.7,30,16734.845311,True
0.0,30,16788.215122,False
2.8,30,16849.175419,True
0.0,30,16911.779233,False
3.0,30,16965.424083,True
0.0,30,17017.222531,False
0.0,30,17074.206661,False
2.7,30,17132.593875,True
0.0,30,17194.130753,False
0.0,30,17255.811698,False
0.0,30,17317.857417,False
0.0,30,17364.435101,False
0.0,30,17417.136733,False
2.1,30,17468.835835,True
0.0,30,17527.300746,False
0.0,30,17580.990134,False
2.4,30,17651.834589,True
0.0,30,17714.327322,False
2.7,30,17775.155616,True
