#{"t_start": 1770256119.5082226, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
2.9,30,94.512608,True
0.0,30,157.24854,False
0.0,30,211.832118,False
0.0,30,273.248523,False
0.0,30,325.105554,False
2.4,30,386.326488,True
0.0,30,454.305924,False
0.0,30,499.749201,False
0.0,30,563.618429,False
3.0,30,630.584532,True
1.3,30,688.321826,True
0.0,30,752.691537,False
0.0,30,807.593481,False
1.9,30,863.261241,True
0.0,30,922.801477,False
0.0,30,985.298798,False
1.8,30,1047.654293,True
0.0,30,1108.402752,False
2.8,30,1177.842743,True
0.0,30,1255.215325,False
0.0,30,1326.202461,False
0.0,30,1379.442704,False
0.0,30,1439.106429,False
0.3,30,1500.099901,True
0.0,30,1567.375588,False
0.0,30,1631.025872,False
2.9,30,1696.157051,True
0.0,30,1759.383998,False
0.0,30,1822.298432,False
0.0,30,1890.940959,False
3.0,30,1963.927085,True
0.0,30,2030.719703,False
0.0,30,2096.108372,False
0.0,30,2149.811922,False
3.0,30,2561.041278,True
0.0,30,2617.211799,False
0.0,30,2681.21973,False
0.0,30,2744.918088,False
0.3,30,2802.138108,True
0.0,30,2865.429501,False
0.0,30,2926.346361,False
0.0,30,2989.304916,False
2.7,30,3057.994611,True
3.0,30,3125.001585,True
0.0,30,3188.663311,False
0.9,30,3250.341921,False
2.8,30,3316.719301,True
2.2,30,3373.625937,True
0.0,30,3441.522817,False
0.0,30,3501.465264,False
0.0,30,3567.058267,False
0.0,30,3628.77667,False
0.0,30,3686.814511,False
0.0,30,3742.919464,False
1.8,30,3806.086198,True
0.0,30,3864.246448,False
0.0,30,3927.047065,False
0.0,30,3987.369509,False
2.9,30,4038.966701,True
0.0,30,4091.18436,False
0.0,30,4155.313358,False
0.0,30,4213.10696,False
3.0,30,4277.276862,True
0.0,30,4339.624742,False
0.0,30,4408.215126,False
0.0,30,4464.509628,False
0.0,30,4521.819883,False
0.0,30,4581.087587,False
0.0,30,5061.165165,False
0.0,30,5122.433274,False
0.0,30,5170.219895,False
0.0,30,5223.012779,False
0.0,30,5290.891729,False
0.0,30,5354.215572,False
0.0,30,5415.523813,False
3.0,30,5474.799154,True
0.0,30,5530.141441,False
0.0,30,5580.586451,False
0.0,30,5638.235585,False
0.0,30,5706.77088,False
0.0,30,5760.681631,False
0.0,30,5822.160319,False
0.0,30,5876.501471,False
0.0,30,5933.45608,False
0.0,30,5988.943553,False
0.0,30,6049.894393,False
0.0,30,6102.305674,False
0.0,30,6159.384218,False
0.0,30,6225.18567,False
0.0,30,6286.758841,False
0.0,30,6351.359855,False
0.0,30,6406.280028,False
0.0,30,6462.052804,False
0.0,30,6524.753378,False
0.0,30,6588.588485,False
0.0,30,6643.767421,False
0.0,30,6698.085863,False
2.4,30,6758.831325,True
0.0,30,6833.409551,False
3.0,30,6887.380868,True
0.0,30,6942.608581,False
0.0,30,7007.450882,False
0.0,30,7427.552693,False
2.9,30,7483.827976,True
0.0,30,7546.005698,False
0.0,30,7605.545049,False
0.0,30,7652.082825,False
2.7,30,7697.013073,True
0.0,30,7753.840023,False
0.0,30,7815.026638,False
0.0,30,7862.801541,False
0.0,30,7931.61555,False
0.0,30,7989.319495,False
0.0,30,8050.405423,False
0.0,30,8110.04649,False
0.0,30,8162.925856,False
0.0,30,8224.578778,False
0.0,30,8273.066852,False
0.0,30,8337.043054,False
0.9,30,8392.100154,True
0.0,30,8452.907522,False
0.0,30,8516.956582,False
0.0,30,8573.381061,False
0.0,30,8633.391471,False
0.0,30,8691.700004,False
0.0,30,8747.181034,False
0.0,30,8806.57438,False
0.0,30,8862.457462,False
0.0,30,8924.079451,False
0.0,30,8979.093801,False
2.7,30,9049.025422,True
0.0,30,9102.354044,False
0.0,30,9173.254418,False
0.0,30,9239.87802,False
2.8,30,9285.316469,True
0.0,30,9342.762396,False
0.0,30,9722.650651,False
2.8,30,9783.82269,True
0.0,30,9846.749489,False
2.2,30,9906.167003,True
0.0,30,9968.514606,False
0.0,30,10026.851833,False
0.0,30,10098.595546,False
0.0,30,10154.266339,False
0.0,30,10205.570397,False
0.0,30,10264.199005,False
0.0,30,10325.828994,False
0.0,30,10394.489727,False
0.0,30,10452.67793,False
2.9,30,10522.288327,True
0.0,30,10592.010724,False
0.0,30,10656.500321,False
0.0,30,10721.886416,False
0.0,30,10773.43598,False
0.0,30,10837.113821,False
1.2,30,10896.73338,True
2.7,30,10954.624675,True
0.0,30,11016.457233,False
3.0,30,11077.487252,True
0.0,30,11139.785165,False
2.0,30,11199.220761,True
0.0,30,11260.410754,False
2.7,30,11312.499766,True
0.0,30,11366.423161,False
0.0,30,11423.124685,False
0.0,30,11480.866208,False
0.0,30,11543.501031,False
0.0,30,11605.736555,False
0.0,30,11660.698165,False
0.0,30,11712.59691,False
0.0,30,12127.542357,False
0.0,30,12191.433561,False
0.0,30,12256.222378,False
0.0,30,12304.692126,False
0.0,30,12364.575963,False
0.0,30,12418.914639,False
2.8,30,12490.115618,True
0.0,30,12552.89616,False
0.0,30,12608.029051,False
2.7,30,12669.262257,True
0.0,30,12726.180181,False
0.0,30,12776.511889,False
0.0,30,12835.563808,False
0.0,30,12889.760485,False
2.5,30,12949.286072,True
0.0,30,13010.386315,False
0.0,30,13074.827471,False
0.0,30,13129.536681,False
2.4,30,13179.987782,True
0.0,30,13235.642763,False
0.0,30,13287.293678,False
3.0,30,13351.486175,True
0.0,30,13412.227696,False
0.0,30,13465.271544,False
0.0,30,13529.317248,False
0.7,30,13585.70578,True
2.4,30,13644.641715,True
2.7,30,13699.485927,True
2.6,30,13763.425643,True
0.0,30,13829.443709,False
0.0,30,13888.285573,False
0.0,30,13948.448082,False
