#{"t_start": 1770256119.2338715, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
3.0,30,95.890367,True
3.0,30,156.885184,True
0.0,30,212.001034,False
0.0,30,274.179277,False
2.7,30,325.257849,True
0.0,30,386.745208,False
0.0,30,455.332809,False
0.0,30,499.940756,False
0.0,30,564.39165,False
0.8,30,629.566355,True
0.0,30,688.838462,False
0.0,30,752.755445,False
0.0,30,807.880913,False
0.0,30,864.116568,False
0.0,30,922.944351,False
2.8,30,985.338041,True
0.0,30,1048.125701,False
0.0,30,1108.937436,False
2.5,30,1178.928976,True
0.0,30,1256.568592,False
0.0,30,1326.635576,False
0.0,30,1379.930067,False
0.0,30,1439.638775,False
0.0,30,1500.975388,False
0.0,30,1568.938082,False
0.0,30,1631.524684,False
2.0,30,1694.897883,True
0.0,30,1759.389463,False
0.0,30,1822.225073,False
2.0,30,1890.141724,True
2.7,30,1962.333379,True
0.0,30,2030.874695,False
0.0,30,2096.47779,False
2.1,30,2149.643631,True
0.0,30,2560.832998,False
0.0,30,2617.362022,False
2.9,30,2681.382938,True
0.0,30,2744.612462,False
0.0,30,2802.661447,False
0.0,30,2865.67981,False
2.6,30,2926.412547,True
0.0,30,2990.868127,False
0.9,30,3055.813749,True
0.0,30,3125.994695,False
0.0,30,3189.724151,False
0.0,30,3250.061276,False
0.0,30,3317.118377,False
2.6,30,3373.906662,True
0.0,30,3441.912503,False
0.0,30,3501.469705,False
0.0,30,3566.841159,False
3.0,30,3629.175167,True
0.0,30,3687.09211,False
0.0,30,3743.47085,False
0.0,30,3805.297178,False
0.0,30,3864.464942,False
0.0,30,3927.373822,False
3.0,30,3987.494243,True
1.8,30,4040.19679,True
2.6,30,4091.403857,True
0.0,30,4155.383862,False
0.0,30,4213.216133,False
1.4,30,4277.566183,True
3.0,30,4340.425676,True
0.0,30,4409.092734,False
1.0,30,4464.713644,True
0.0,30,4522.223881,False
0.0,30,4581.321324,False
3.0,30,5060.699028,True
3.0,30,5123.032817,True
0.0,30,5170.896158,False
2.4,30,5223.147628,True
0.0,30,5292.076292,False
0.0,30,5354.745043,False
0.0,30,5415.475563,False
1.4,30,5475.098354,True
0.0,30,5530.856684,False
0.0,30,5580.911347,False
1.9,30,5638.449464,True
0.0,30,5707.74647,False
0.0,30,5760.995431,False
0.0,30,5821.99586,False
0.0,30,5876.575703,False
0.0,30,5933.753984,False
0.0,30,5989.11585,False
0.0,30,6050.479199,False
0.0,30,6102.390294,False
2.9,30,6159.45799,True
0.0,30,6225.631369,False
1.0,30,6286.479938,True
2.9,30,6351.453726,True
0.0,30,6406.641045,False
0.0,30,6462.420457,False
0.0,30,6525.394779,False
0.0,30,6588.672775,False
0.0,30,6644.399328,False
0.0,30,6698.326683,False
0.0,30,6759.371713,False
2.5,30,6833.539729,True
0.0,30,6887.124084,False
0.0,30,6942.767077,False
0.0,30,7008.416093,False
0.0,30,7427.844515,False
3.0,30,7484.078791,True
3.0,30,7546.573762,True
0.0,30,7604.607625,False
0.0,30,7652.693244,False
0.0,30,7697.55148,False
2.9,30,7753.730762,True
0.0,30,7815.024644,False
2.5,30,7862.945574,True
0.0,30,7932.093142,False
0.0,30,7989.226763,False
2.9,30,8050.024131,True
0.0,30,8110.880358,False
0.0,30,8163.305982,False
0.0,30,8225.002607,False
3.0,30,8273.297122,True
0.0,30,8338.63896,False
2.9,30,8392.389653,True
0.1,30,8453.916158,True
0.0,30,8516.890631,False
0.0,30,8573.666814,False
0.0,30,8633.193708,False
0.0,30,8691.996886,False
0.0,30,8746.128569,False
0.0,30,8806.011486,False
2.9,30,8862.61157,True
0.0,30,8924.118598,False
0.0,30,8979.157794,False
0.0,30,9049.329532,False
2.0,30,9102.394093,True
2.4,30,9173.477604,True
3.0,30,9240.473961,True
0.0,30,9286.431026,False
0.0,30,9342.760882,False
0.0,30,9722.526041,False
2.5,30,9784.77306,True
3.0,30,9847.896775,True
0.0,30,9906.632827,False
2.0,30,9968.731797,True
0.0,30,10027.020133,False
0.0,30,10099.088108,False
0.0,30,10154.592038,False
0.0,30,10205.858355,False
2.2,30,10264.376434,True
0.0,30,10326.283312,False
0.0,30,10395.68244,False
0.0,30,10453.282619,False
0.0,30,10522.676755,False
0.0,30,10592.838914,False
3.0,30,10657.304479,True
0.0,30,10722.994653,False
0.0,30,10773.855067,False
0.0,30,10837.084761,False
0.0,30,10896.59959,False
0.0,30,10955.134838,False
1.5,30,11016.123194,True
0.0,30,11077.896549,False
0.0,30,11140.137378,False
0.0,30,11199.705009,False
