#{"t_start": 1770256124.1543295, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
0.1,30,90.501908,True
0.0,30,152.078065,False
0.0,30,207.566458,False
0.0,30,268.647664,False
0.0,30,320.599524,False
3.0,30,381.721726,True
3.0,30,450.361088,True
0.0,30,495.719604,False
0.0,30,558.901493,False
0.0,30,625.0182,False
0.0,30,683.777426,False
1.6,30,747.484988,True
0.0,30,803.113788,False
1.7,30,858.662236,True
0.0,30,918.13124,False
3.0,30,982.540677,True
1.0,30,1043.024004,True
0.0,30,1104.268779,False
0.0,30,1173.327267,False
2.8,30,1251.861352,True
0.0,30,1321.569065,False
2.1,30,1375.366858,False
0.0,30,1434.4202,False
3.0,30,1495.485182,True
2.6,30,1562.395234,True
0.0,30,1627.19448,False
0.0,30,1690.853557,False
0.0,30,1754.640332,False
0.0,30,1817.224036,False
0.0,30,1886.666037,False
2.9,30,1957.75644,True
2.3,30,2025.710073,True
0.0,30,2092.100919,False
2.9,30,2146.31547,True
0.0,30,2555.531785,False
0.0,30,2612.99776,False
2.9,30,2677.071575,True
0.0,30,2739.887339,False
0.0,30,2797.588044,False
0.0,30,2861.861563,False
2.6,30,2921.486058,True
0.0,30,2984.519318,False
3.0,30,3053.188182,True
0.0,30,3120.51569,False
0.0,30,3183.841688,False
2.1,30,3245.630803,True
0.0,30,3312.251335,False
0.0,30,3369.120489,False
0.0,30,3436.937438,False
0.0,30,3496.583916,False
1.1,30,3561.594157,True
0.0,30,3624.359945,False
2.9,30,3682.030646,True
0.0,30,3738.721068,False
2.9,30,3801.932009,True
2.3,30,3859.347259,True
0.0,30,3922.706439,False
0.0,30,3983.00419,False
0.0,30,4034.502139,False
2.7,30,4086.484871,True
2.8,30,4150.279222,True
0.0,30,4208.486068,False
0.6,30,4272.643035,True
2.8,30,4334.573055,True
0.0,30,4403.608806,False
2.8,30,4459.792384,True
0.0,30,4517.055836,False
0.0,30,4576.509235,False
0.0,30,5055.939326,False
2.8,30,5117.27212,True
0.0,30,5165.816982,False
2.9,30,5218.227242,True
2.9,30,5286.203915,True
2.9,30,5349.479167,True
0.0,30,5410.474547,False
0.0,30,5471.54676,False
1.4,30,5525.551128,True
0.0,30,5576.285943,False
0.0,30,5634.448105,False
3.0,30,5702.293965,True
0.0,30,5756.160253,False
0.0,30,5816.993076,False
0.0,30,5871.905938,False
0.0,30,5928.856157,False
3.0,30,5984.10074,True
1.6,30,6045.128355,True
0.0,30,6097.910882,False
0.0,30,6154.676061,False
0.0,30,6220.688812,False
0.0,30,6281.767461,False
3.0,30,6346.599115,True
0.0,30,6401.765593,False
0.0,30,6457.349621,False
0.0,30,6521.279468,False
0.0,30,6583.636731,False
2.4,30,6639.851499,True
0.0,30,6693.378449,False
0.0,30,6754.922097,False
3.0,30,6829.550883,True
0.0,30,6882.128171,False
0.0,30,6937.741542,False
2.8,30,7002.736247,True
0.0,30,7422.846854,False
0.0,30,7479.334511,False
2.1,30,7540.705397,True
0.4,30,7599.775416,False
0.0,30,7647.779997,False
0.0,30,7692.578124,False
0.0,30,7748.896129,False
2.7,30,7810.660916,True
0.0,30,7858.22665,False
3.0,30,7927.038505,True
0.0,30,7984.409944,False
2.8,30,8045.104725,True
0.9,30,8104.81494,True
0.0,30,8158.226234,False
0.0,30,8219.839251,False
0.0,30,8268.950552,False
0.0,30,8333.307148,False
