#{"t_start": 1770256124.0748198, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
2.8,30,90.442741,True
0.0,30,152.130439,False
0.0,30,207.60571,False
2.9,30,270.683583,True
2.5,30,320.415872,True
0.0,30,382.321296,False
0.0,30,449.896962,False
0.0,30,495.063139,False
0.0,30,558.917345,False
0.0,30,625.521082,False
0.0,30,684.717632,False
0.0,30,748.64902,False
0.0,30,803.110098,False
2.6,30,858.708461,True
0.0,30,919.713904,False
0.0,30,980.694968,False
0.0,30,1043.782701,False
0.0,30,1104.028968,False
0.6,30,1173.724797,True
0.0,30,1250.286906,False
2.8,30,1322.007285,True
2.8,30,1376.358485,True
0.0,30,1434.68822,False
0.0,30,1495.816883,False
0.0,30,1563.330667,False
3.0,30,1626.321508,True
0.0,30,1690.933426,False
0.0,30,1755.921286,False
2.6,30,1817.081101,True
2.7,30,1885.259019,True
0.0,30,1957.671987,False
0.0,30,2026.007669,False
0.0,30,2092.015726,False
0.0,30,2144.982804,False
0.0,30,2555.741783,False
0.0,30,2612.686245,False
3.0,30,2678.026792,True
2.4,30,2740.865432,True
0.0,30,2797.702165,False
1.1,30,2861.638009,True
0.0,30,2922.337151,False
1.9,30,2984.501877,True
2.8,30,3053.388964,True
2.9,30,3121.779462,True
2.1,30,3183.690595,True
0.0,30,3245.686961,False
0.0,30,3312.358143,False
0.0,30,3369.38853,False
0.0,30,3436.963514,False
0.0,30,3496.595975,False
0.0,30,3562.073632,False
0.0,30,3624.480916,False
0.0,30,3682.499703,False
0.0,30,3738.951258,False
0.0,30,3800.387959,False
0.0,30,3859.585758,False
0.0,30,3922.68307,False
0.0,30,3982.903239,False
0.0,30,4035.976531,False
2.7,30,4086.566878,True
0.8,30,4150.332246,True
0.0,30,4208.979311,False
0.0,30,4273.577797,False
2.2,30,4334.651796,True
2.9,30,4403.471874,True
0.2,30,4460.886527,False
2.5,30,4517.043617,True
1.4,30,4576.829178,True
2.8,30,5055.854766,True
0.0,30,5117.458116,False
0.0,30,5165.758732,False
0.0,30,5218.403833,False
0.0,30,5286.822696,False
0.0,30,5349.919423,False
0.0,30,5410.600695,False
0.0,30,5470.359769,False
0.0,30,5525.643877,False
0.0,30,5576.170564,False
2.9,30,5633.562229,True
0.0,30,5701.959504,False
0.0,30,5756.211948,False
2.5,30,5816.906259,True
2.8,30,5871.548767,True
0.0,30,5928.989649,False
0.0,30,5984.576164,False
0.0,30,6045.309463,False
0.0,30,6097.945589,False
0.0,30,6154.98115,False
2.6,30,6220.931305,False
2.4,30,6281.640936,True
0.0,30,6346.738273,False
0.0,30,6401.724039,False
0.0,30,6457.823663,False
2.1,30,6520.033163,True
2.7,30,6583.377402,True
0.0,30,6639.929027,False
0.0,30,6693.512365,False
3.0,30,6755.359605,True
0.0,30,6828.760075,False
0.0,30,6882.17625,False
0.0,30,6937.954875,False
2.8,30,7002.985999,True
3.0,30,7423.418537,True
0.0,30,7479.851735,False
0.0,30,7541.074207,False
0.0,30,7599.997568,False
0.0,30,7647.730499,False
1.2,30,7692.474039,True
0.0,30,7749.082547,False
0.0,30,7810.264853,False
2.5,30,7858.112172,True
0.0,30,7927.138098,False
2.8,30,7984.207103,True
0.0,30,8045.364463,False
0.0,30,8105.218732,False
0.0,30,8158.341551,False
2.7,30,8219.723256,True
0.0,30,8268.593773,False
0.0,30,8333.019534,False
0.0,30,8387.721692,False
0.0,30,8449.597898,False
0.0,30,8511.957584,False
0.0,30,8568.974524,False
0.0,30,8629.226079,False
0.0,30,8687.139583,False
0.0,30,8741.8596,False
0.0,30,8801.174217,False
0.0,30,8857.852656,False
0.0,30,8919.190864,False
0.0,30,8974.3836,False
0.0,30,9044.532241,False
0.0,30,9097.709369,False
0.0,30,9168.914603,False
0.0,30,9235.373369,False
0.0,30,9280.972234,False
0.0,30,9337.783674,False
0.0,30,9717.911949,False
0.0,30,9778.727562,False
0.0,30,9842.251072,False
0.0,30,9902.326666,False
0.0,30,9964.097515,False
2.8,30,10022.037338,True
0.0,30,10094.007671,False
0.0,30,10149.867478,False
2.9,30,10200.786377,True
0.0,30,10260.107851,False
0.0,30,10321.38269,False
0.0,30,10390.046361,False
0.0,30,10447.923382,False
0.0,30,10519.48124,False
0.0,30,10587.653631,False
2.7,30,10649.993377,True
0.0,30,10717.356761,False
0.0,30,10769.176108,False
0.0,30,10832.247669,False
0.0,30,10892.363245,False
2.8,30,10950.081275,True
0.0,30,11011.040409,False
0.0,30,11073.157852,False
0.0,30,11135.312328,False
0.0,30,11195.860133,False
0.0,30,11255.621357,False
0.0,30,11308.243186,False
0.0,30,11361.980189,False
0.0,30,11418.873081,False
0.0,30,11476.409549,False
0.0,30,11538.896166,False
0.0,30,11601.194207,False
0.0,30,11655.857238,False
0.0,30,11708.065494,False
0.0,30,12123.007366,False
0.0,30,12186.594083,False
0.0,30,12251.849181,False
3.0,30,12300.906973,True
0.0,30,12360.180486,False
0.0,30,12414.438782,False
0.0,30,12486.189328,False
0.0,30,12547.285053,False
2.4,30,12603.50428,True
3.0,30,12664.710942,True
0.0,30,12721.041352,False
0.0,30,12771.870886,False
0.0,30,12830.89214,False
0.0,30,12885.611433,False
0.0,30,12944.866265,False
0.0,30,13005.780609,False
0.0,30,13070.035052,False
0.0,30,13124.822547,False
0.0,30,13175.930329,False
0.0,30,13231.385432,False
2.7,30,13282.599604,True
0.0,30,13347.246163,False
2.9,30,13407.289536,True
2.4,30,13459.85532,True
0.0,30,13524.271921,False
3.0,30,13581.157344,True
0.0,30,13640.330987,False
0.0,30,13695.176474,False
0.0,30,13759.776839,False
0.0,30,13824.727814,False
0.0,30,13884.185269,False
0.0,30,13943.923372,False
0.0,30,14005.872903,False
2.6,30,14058.415848,True
0.0,30,14471.168695,False
0.0,30,14527.889381,False
0.0,30,14591.602704,False
0.0,30,14657.617813,False
0.1,30,14706.441726,True
0.0,30,14757.21124,False
0.0,30,14807.148161,False
0.0,30,14860.17771,False
1.8,30,14918.374423,True
0.0,30,14975.113908,False
0.0,30,15034.039234,False
0.0,30,15071.10398,False
0.0,30,15126.595765,False
0.0,30,15177.74238,False
2.9,30,15232.86812,True
2.8,30,15291.788736,True
0.0,30,15343.043665,False
3.0,30,15396.49555,True
0.0,30,15453.146894,False
0.0,30,15499.123771,False
1.3,30,15551.488323,True
0.0,30,15607.439477,False
0.0,30,15670.926063,False
0.0,30,15729.899427,False
2.9,30,15793.9228,True
1.0,30,15848.905792,True
0.0,30,15906.502773,False
0.0,30,15964.325083,False
0.0,30,16023.864903,False
0.0,30,16072.411432,False
0.0,30,16136.373654,False
2.7,30,16187.476607,True
0.0,30,16250.926577,False
3.0,30,16312.274913,True
0.3,30,16735.334231,True
3.0,30,16789.824301,True
0.0,30,16850.269483,False
2.6,30,16911.575525,True
1.6,30,16965.223552,True
1.4,30,17017.883744,True
0.0,30,17075.125013,False
0.0,30,17133.552197,False
3.0,30,17194.388776,True
0.0,30,17256.681598,False
2.8,30,17318.601124,True
0.0,30,17365.36548,False
0.0,30,17418.251156,False
2.3,30,17470.502795,True
0.0,30,17528.359039,False
0.0,30,17581.325792,False
0.0,30,17653.868323,False
0.0,30,17715.768816,False
0.0,30,17776.587919,False
0.0,30,17833.778094,False
2.1,30,17884.514786,True
0.0,30,17937.264938,False
0.0,30,17997.348984,False
2.7,30,18056.652431,True
0.0,30,18120.345306,False
0.0,30,18184.915684,False
3.0,30,18235.447239,True
