adv_max,aux_task_loss,adv_min,ep_len_mean,cur2rec_ratio,eval_5_sr,serial_timesteps,2_success_rate,priority_std,vf_grad_norm,rec2old_ratio,n_updates,ep_reward_mean,policy_loss,priority_max,cur_max_blocks,entropy,success_rate,rec2old_max,low_level_sr,1_success_rate,kl_loss,clipped_ratio,fps,priority_mean,pi_grad_norm,0_success_rate,4_success_rate,cur2rec_max,total_timesteps,hard_ratio,5_success_rate,restart_value_mean,supervision_action_loss,3_success_rate,time_elapsed,6_success_rate,eval_7_sr,value_loss,eval_3_sr
3.8058512704284295,1.7883045222610234,-2.563703270341475,30.0,0.971212888251789,0.0,0,0.51,0.009480405733702495,4.96426038518548,1.0,0,0.7339999999999999,0.000180079244475697,0.7180964092910289,7,8.119584070146084,0.29,1.0,0.3108673095703125,nan,0.012169246561825275,0.24500732421875,30,0.0008322912213987586,6.075160532444715,nan,0.25,2.8068149879471007,65536,0.01,nan,nan,nan,nan,2478.921097755432,0.19,0.0,0.03649351121342563,0.375
4.515530440114554,1.632064200937748,-3.1928463620242047,30.0,0.9922409945545022,0.0,1024,0.51,0.015607746492706482,3.28357989564538,1.0,1,0.7480000000000001,-0.0018289742440240706,0.6849530339241028,7,8.721487230062484,0.32,1.0,0.3660125732421875,nan,0.0028168838096462425,0.19784088134765626,28,0.0015713050736716266,6.773272453993559,nan,0.25,1.0161631053222253,131072,0.01,nan,1.9828187227249146,nan,nan,4989.326920032501,0.11,0.0,0.03495677304633722,0.3984375
5.515979914491637,1.530766536295414,-4.423668800936263,30.0,0.9868040209047259,0.0,2048,0.48,0.02164865283238383,2.2861812079325317,1.0,2,0.557,-0.008041687554147596,0.8023879976570606,7,9.40283539891243,0.25,1.0,0.3718210856119792,nan,0.002463650038771448,0.2100250244140625,27,0.0034931607756376833,5.1767577566206455,nan,0.28,1.0160837497652508,196608,0.01,nan,1.5335701704025269,nan,nan,7370.050927877426,0.19,0.0,0.0307651173484342,0.375
6.587498194034254,1.5888406474143266,-5.140586251751339,30.0,0.9874013622214417,0.015625,3072,0.53,0.02891000875994798,1.9140306340530515,1.0,3,0.559,-0.007758253068841391,0.8186598420143127,7,9.574989449977874,0.22,1.0,0.37810516357421875,nan,0.002169995618532994,0.20156707763671874,27,0.008556358357986764,5.54857023358345,nan,0.25,1.0083387538921555,262144,0.01,nan,0.9106192588806152,nan,nan,9678.028912782669,0.23,0.0,0.03206495064770589,0.4609375
7.612541302368777,1.6635335508733988,-6.345930364312934,30.0,0.989343577947376,0.03125,4096,0.6,0.03918143586200834,3.2883074171841145,1.0,4,0.6509999999999999,-0.004106185855467992,0.8011390165984631,7,9.62255810201168,0.27,1.0,0.3720001220703125,nan,0.001978980645071715,0.20616455078125,27,0.01998893950180368,5.8025248475372795,nan,0.35,1.0085310291808811,327680,0.01,nan,0.7497344017028809,nan,nan,12083.562308311462,0.29,0.0,0.030596514430012163,0.484375
7.696930694225392,1.8085226267576218,-6.751392795120917,30.0,0.9916438171881439,0.0546875,5120,0.63,0.049523831173279985,2.183149187080562,1.0,5,0.377,-0.0050543743690947395,0.808569923043251,7,9.54290522634983,0.19,1.0,0.36950937906901044,nan,0.0022814694482804045,0.20717926025390626,27,0.024223391208920943,5.690148162841797,nan,0.49,1.0136123273424777,393216,0.01,nan,0.7443057298660278,nan,nan,14442.202534675598,0.27,0.0,0.03523665985281081,0.5859375
6.919146485225437,1.817923627793789,-6.4898335003241,30.0,0.9901924016646362,0.015625,6144,0.55,0.05751309684505373,1.7631533520296216,1.0,6,0.754,-0.006711276672887523,0.8639810338616372,7,9.785550650954246,0.31,1.0,0.3738926478794643,nan,0.0026400044727779457,0.2125579833984375,27,0.024179704656993796,5.501562895625829,nan,0.49,1.0133523457932685,458752,0.01,nan,0.7706820964813232,nan,nan,16711.794283866882,0.3,0.0,0.04486739046716461,0.4765625
6.881231985263417,1.7903064016252757,-6.598632938069635,30.0,0.9908890029652516,0.09375,7168,0.58,0.06920515985069757,1.8377216713503004,1.0,7,0.882,-0.007914213692189058,0.992648354768753,7,9.980432078242302,0.34,1.0,0.3804740905761719,nan,0.0027525507528480377,0.21425018310546876,27,0.025867098370322254,5.30290192887187,nan,0.46,1.014269172172968,524288,0.01,nan,0.8128036856651306,nan,nan,19012.084994077682,0.37,0.0,0.05193571727024515,0.6328125
6.956394633942557,1.7601625733077526,-6.577106092526398,30.0,0.9915014882107741,0.15625,8192,0.63,0.07498644967100442,2.289842167310417,1.0,8,0.7829999999999998,-0.006548360618048039,1.0454424579441548,7,10.098035264015198,0.32,1.0,0.3893839518229167,nan,0.0027508253089763455,0.20324249267578126,28,0.024888326412021697,6.045224316045642,nan,0.52,1.012609602667252,589824,0.01,nan,0.7923715114593506,nan,nan,21232.559571027756,0.34,0.015625,0.056571736451187606,0.59375
6.496707500935369,1.7762685399502516,-6.067923616422286,30.0,0.9900922485669958,0.15625,9216,0.66,0.08335375505346526,2.399140112474561,1.0,9,0.9050000000000001,-0.008602770234876381,1.0045080830156803,7,10.17189829647541,0.4,1.0,0.39969635009765625,nan,0.003154831914798706,0.20870513916015626,28,0.027554328011933717,5.38067269474268,nan,0.59,1.0141265286077914,655360,0.01,nan,0.8030195236206055,nan,nan,23536.068806409836,0.39,0.03125,0.06443233990837496,0.6875
