#{"t_start": 1770256119.6903396, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
0.0,30,94.409691,False
0.0,30,157.153279,False
0.0,30,212.459017,False
2.8,30,273.891071,True
2.2,30,325.647766,False
0.0,30,386.389276,False
0.0,30,454.676458,False
0.0,30,499.454844,False
1.2,30,563.19596,True
0.0,30,629.48905,False
0.0,30,688.233137,False
0.0,30,753.07058,False
0.0,30,807.559572,False
0.0,30,863.507017,False
3.0,30,924.157665,True
0.4,30,985.853859,False
0.0,30,1047.872808,False
0.0,30,1108.303772,False
0.0,30,1178.066443,False
0.0,30,1254.811563,False
0.0,30,1326.549625,False
0.0,30,1379.159104,False
1.4,30,1438.628178,True
2.9,30,1499.912484,True
0.0,30,1566.964853,False
0.0,30,1630.820693,False
0.0,30,1695.764313,False
0.0,30,1758.956481,False
0.0,30,1821.63039,False
0.0,30,1890.686829,False
2.2,30,1961.837656,True
0.0,30,2030.493977,False
0.0,30,2096.541995,False
0.0,30,2149.362758,False
0.0,30,2559.894311,False
0.0,30,2617.272665,False
0.0,30,2681.060462,False
3.0,30,2744.052356,True
0.0,30,2802.184162,False
0.0,30,2865.741296,False
0.0,30,2926.590911,False
0.0,30,2989.623901,False
0.0,30,3055.944353,False
0.0,30,3124.989885,False
0.0,30,3189.422632,False
0.2,30,3249.883326,True
0.0,30,3316.710447,False
2.4,30,3373.438189,True
0.0,30,3442.182396,False
0.0,30,3500.924667,False
1.7,30,3566.055745,True
0.0,30,3629.152183,False
0.0,30,3686.751285,False
0.0,30,3742.573538,False
3.0,30,3806.188869,True
0.0,30,3864.194384,False
0.0,30,3926.869558,False
0.0,30,3987.223584,False
0.0,30,4039.198812,False
2.4,30,4090.939348,True
2.9,30,4156.234952,True
0.0,30,4213.271511,False
0.0,30,4277.402672,False
0.0,30,4339.290062,False
1.9,30,4409.068957,True
0.0,30,4464.396478,False
0.0,30,4521.561449,False
0.0,30,4581.821557,False
3.0,30,5061.402636,True
0.0,30,5122.118114,False
0.2,30,5169.945892,True
0.0,30,5223.206012,False
0.0,30,5290.714707,False
0.8,30,5353.907676,True
0.0,30,5414.963573,False
0.0,30,5474.761263,False
0.0,30,5529.975024,False
3.0,30,5580.2309,True
3.0,30,5637.944879,True
3.0,30,5706.937608,True
2.9,30,5760.408489,True
2.7,30,5821.268393,True
0.0,30,5876.23062,False
2.9,30,5933.193837,True
0.0,30,5988.55877,False
0.0,30,6050.475252,False
0.0,30,6102.085567,False
2.6,30,6159.017379,True
3.0,30,6224.707934,True
0.0,30,6286.226981,False
0.0,30,6351.132934,False
3.0,30,6407.95607,True
0.4,30,6462.058635,False
2.6,30,6524.98152,True
2.0,30,6587.789851,True
0.0,30,6643.519792,False
0.0,30,6697.82879,False
2.9,30,6758.661215,True
0.0,30,6834.490173,False
0.0,30,6886.658492,False
0.0,30,6942.644302,False
0.8,30,7007.233593,True
2.8,30,7426.661481,True
0.0,30,7483.738539,False
0.0,30,7545.261092,False
0.0,30,7604.325145,False
2.7,30,7651.712971,True
3.0,30,7696.830424,True
0.0,30,7754.119836,False
0.0,30,7814.528883,False
0.0,30,7862.897918,False
3.0,30,7930.878151,True
0.0,30,7988.718914,False
0.0,30,8049.822131,False
0.0,30,8109.529444,False
0.0,30,8162.651687,False
0.0,30,8224.199796,False
2.7,30,8273.897227,True
0.0,30,8337.009769,False
0.0,30,8392.386935,False
2.5,30,8452.546868,True
0.0,30,8516.536234,False
0.0,30,8572.853606,False
0.0,30,8632.86303,False
0.0,30,8691.772138,False
0.0,30,8745.247903,False
0.0,30,8806.290731,False
3.0,30,8862.104021,True
0.0,30,8923.532829,False
0.0,30,8978.628436,False
0.0,30,9049.885503,False
0.0,30,9102.541006,False
0.0,30,9173.997189,False
2.8,30,9239.345447,True
0.0,30,9285.147241,False
0.0,30,9342.189271,False
0.0,30,9722.048318,False
0.0,30,9783.287643,False
0.0,30,9846.703611,False
0.0,30,9906.079831,False
0.0,30,9968.342639,False
0.0,30,10027.096247,False
0.0,30,10098.391761,False
0.0,30,10154.134557,False
0.0,30,10205.262602,False
2.8,30,10263.940572,True
0.0,30,10325.78269,False
0.0,30,10395.716347,False
0.0,30,10452.969454,False
0.0,30,10522.306404,False
0.0,30,10592.179554,False
0.0,30,10654.891292,False
0.0,30,10721.77687,False
0.0,30,10773.333782,False
0.0,30,10836.542634,False
0.0,30,10896.071691,False
0.0,30,10955.982208,False
0.0,30,11015.536002,False
2.7,30,11078.248413,True
0.0,30,11139.815516,False
0.0,30,11199.558761,False
0.0,30,11260.148196,False
0.0,30,11312.498405,False
0.0,30,11366.417779,False
0.0,30,11423.067682,False
0.0,30,11480.851687,False
0.0,30,11542.748945,False
0.0,30,11605.776039,False
0.0,30,11660.179802,False
0.0,30,11712.972252,False
0.0,30,12127.649611,False
0.0,30,12190.550375,False
0.0,30,12256.35081,False
0.0,30,12304.623897,False
0.0,30,12364.420285,False
0.0,30,12419.545183,False
2.6,30,12489.962761,True
2.6,30,12551.489955,True
2.5,30,12607.69877,True
0.0,30,12669.2237,False
0.0,30,12726.157947,False
0.0,30,12776.309424,False
0.0,30,12836.022363,False
0.0,30,12888.812181,False
0.0,30,12949.316894,False
0.0,30,13010.583611,False
0.0,30,13073.842711,False
0.0,30,13129.837836,False
0.0,30,13179.959157,False
0.0,30,13235.437051,False
0.0,30,13287.798422,False
0.0,30,13351.391959,False
2.1,30,13411.702332,True
0.0,30,13464.912511,False
0.0,30,13531.093869,False
3.0,30,13585.510436,True
0.0,30,13646.068889,False
2.9,30,13699.303837,True
3.0,30,13764.143389,True
0.0,30,13829.025654,False
0.0,30,13889.623591,False
0.0,30,13948.220657,False
0.0,30,14009.614198,False
0.0,30,14063.141245,False
2.1,30,14475.035899,True
0.0,30,14533.01005,False
0.0,30,14596.624408,False
0.0,30,14661.815202,False
0.0,30,14710.274392,False
0.0,30,14761.280138,False
0.0,30,14811.92605,False
3.0,30,14866.384696,True
2.4,30,14922.74913,True
2.4,30,14979.349856,True
