#{"t_start": 1770256120.7209432, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
0.0,30,93.482857,False
2.9,30,155.379346,True
1.4,30,210.356972,True
0.0,30,272.147218,False
0.0,30,323.895131,False
3.0,30,386.401781,True
0.0,30,453.814332,False
2.2,30,498.296314,True
1.5,30,563.640612,False
2.2,30,628.072845,True
0.0,30,687.386887,False
2.8,30,750.895838,True
0.0,30,806.844346,False
0.4,30,862.056374,True
0.0,30,921.757844,False
0.0,30,984.308078,False
0.0,30,1046.623517,False
2.7,30,1108.025781,True
0.0,30,1176.819434,False
0.0,30,1253.779129,False
0.0,30,1325.020957,False
0.0,30,1378.248077,False
0.8,30,1437.595908,True
2.8,30,1498.87708,True
2.9,30,1565.809333,True
0.1,30,1629.755299,False
0.0,30,1693.566224,False
1.6,30,1758.460634,False
0.0,30,1820.63155,False
3.0,30,1888.569117,True
3.0,30,1961.898881,True
0.0,30,2029.47197,False
0.0,30,2095.314134,False
0.0,30,2148.328398,False
0.0,30,2559.323087,False
0.0,30,2615.915877,False
0.0,30,2680.084877,False
2.5,30,2743.023764,True
0.0,30,2801.929592,False
0.0,30,2864.159598,False
0.0,30,2925.457651,False
0.0,30,2988.130525,False
2.7,30,3055.309774,True
0.0,30,3124.167237,False
0.0,30,3187.305091,False
0.0,30,3248.790352,False
3.0,30,3315.886016,True
2.9,30,3372.87002,True
0.0,30,3441.113357,False
0.0,30,3501.567114,False
0.0,30,3565.212941,False
0.0,30,3627.619288,False
0.0,30,3685.639076,False
0.0,30,3741.564567,False
0.8,30,3804.887595,False
3.0,30,3863.625827,True
0.0,30,3926.159183,False
0.0,30,3986.205021,False
0.0,30,4038.912528,False
0.0,30,4090.071794,False
1.4,30,4153.685498,True
0.0,30,4211.711268,False
3.0,30,4276.059267,True
0.0,30,4338.578547,False
0.0,30,4407.402893,False
2.5,30,4463.212598,True
2.3,30,4521.059228,True
0.0,30,4579.842169,False
0.0,30,5059.706716,False
0.0,30,5121.670785,False
0.0,30,5169.5759,False
0.0,30,5222.151875,False
0.0,30,5289.788183,False
0.0,30,5353.007661,False
2.7,30,5413.762918,True
3.0,30,5474.939567,True
0.0,30,5528.852091,False
0.0,30,5579.425257,False
0.0,30,5637.588968,False
0.0,30,5705.253966,False
0.0,30,5759.652111,False
0.0,30,5820.722339,False
3.0,30,5874.903742,True
0.0,30,5932.26646,False
0.0,30,5987.97059,False
0.0,30,6048.732377,False
2.8,30,6100.716321,True
0.0,30,6158.176878,False
2.7,30,6223.700026,True
0.0,30,6285.62116,False
0.0,30,6350.457839,False
0.0,30,6405.31696,False
0.0,30,6460.830516,False
0.0,30,6523.444102,False
0.0,30,6588.258094,False
0.0,30,6643.070884,False
2.5,30,6696.629836,True
0.0,30,6758.177947,False
0.0,30,6832.174156,False
3.0,30,6886.748103,True
0.0,30,6941.202556,False
3.0,30,7006.149932,True
0.0,30,7425.794491,False
2.7,30,7482.580505,True
0.0,30,7544.47342,False
2.8,30,7603.076874,True
3.0,30,7650.680721,True
0.0,30,7695.998007,False
0.0,30,7752.408325,False
0.0,30,7813.593001,False
0.0,30,7861.922744,False
2.7,30,7930.691582,True
3.0,30,7988.834129,True
0.0,30,8048.764669,False
3.0,30,8108.24069,True
0.0,30,8161.581212,False
0.0,30,8223.394557,False
0.0,30,8272.73939,False
0.0,30,8336.568113,False
0.0,30,8391.084096,False
0.0,30,8451.567395,False
0.0,30,8515.722112,False
3.0,30,8571.697805,True
2.8,30,8632.493316,True
3.0,30,8690.377819,True
2.5,30,8743.968609,True
0.0,30,8804.528347,False
0.0,30,8861.189167,False
3.0,30,8922.320246,True
0.0,30,8978.402804,False
0.0,30,9048.431884,False
0.0,30,9101.723009,False
0.0,30,9172.527533,False
3.0,30,9239.055251,True
0.0,30,9284.324953,False
0.0,30,9341.160054,False
0.0,30,9721.558389,False
0.0,30,9782.083128,False
0.0,30,9845.451672,False
0.0,30,9905.500577,False
0.0,30,9967.368896,False
0.0,30,10025.461464,False
0.0,30,10097.490329,False
0.0,30,10153.483181,False
0.0,30,10204.33742,False
0.0,30,10263.192186,False
0.0,30,10324.667974,False
0.0,30,10394.046402,False
0.0,30,10451.229546,False
0.0,30,10521.799822,False
0.0,30,10591.25469,False
0.0,30,10653.53204,False
0.0,30,10721.110874,False
0.0,30,10772.488381,False
0.0,30,10835.745702,False
0.0,30,10894.946929,False
0.0,30,10953.725984,False
2.6,30,11014.883531,True
0.0,30,11076.397752,False
0.0,30,11139.151948,False
2.8,30,11198.055515,True
0.0,30,11259.001093,False
3.0,30,11311.288246,True
0.0,30,11365.441453,False
2.4,30,11421.808683,True
0.0,30,11479.738705,False
0.0,30,11542.025275,False
0.0,30,11604.861486,False
0.0,30,11659.541423,False
1.3,30,11711.347927,True
0.0,30,12126.399315,False
2.2,30,12189.393959,True
0.0,30,12255.176904,False
0.0,30,12303.960842,False
0.0,30,12362.965815,False
0.0,30,12417.862669,False
0.0,30,12489.157488,False
2.9,30,12550.46218,True
3.0,30,12608.383092,True
2.8,30,12668.088096,True
0.0,30,12724.440234,False
2.3,30,12775.067772,True
3.0,30,12836.131489,True
2.0,30,12887.698303,True
0.0,30,12948.282861,False
0.0,30,13008.986843,False
0.8,30,13073.271755,True
0.0,30,13128.131655,False
0.0,30,13178.947712,False
0.0,30,13234.748778,False
0.0,30,13286.093699,False
0.0,30,13350.843704,False
3.0,30,13410.670657,True
2.7,30,13463.18849,True
0.0,30,13527.821101,False
0.0,30,13585.023049,False
2.9,30,13643.44711,True
2.5,30,13698.272032,True
2.5,30,13763.336282,True
3.0,30,13829.648539,True
1.5,30,13886.691853,True
0.0,30,13949.629915,False
2.7,30,14008.197087,True
0.0,30,14062.881352,False
2.7,30,14473.982258,True
0.0,30,14531.334121,False
0.0,30,14595.054087,False
2.6,30,14660.813869,True
0.0,30,14709.238297,False
2.7,30,14760.19421,True
0.0,30,14810.791809,False
0.0,30,14863.566176,False
0.0,30,14921.90019,False
2.8,30,14978.314016,True
0.0,30,15037.336922,False
0.0,30,15073.962855,False
0.0,30,15130.295048,False
2.4,30,15180.944224,True
0.0,30,15236.405941,False
0.0,30,15294.623111,False
1.7,30,15346.893812,True
1.1,30,15399.851584,True
0.0,30,15457.359221,False
0.0,30,15502.296794,False
0.0,30,15555.269304,False
0.0,30,15610.612805,False
0.0,30,15674.862228,False
0.0,30,15733.964364,False
0.0,30,15796.297484,False
0.0,30,15852.51178,False
0.0,30,15908.933312,False
0.0,30,15967.614052,False
0.0,30,16027.342228,False
0.0,30,16075.844731,False
0.0,30,16138.190657,False
2.8,30,16190.826502,True
0.0,30,16254.097955,False
2.4,30,16314.577804,True
2.7,30,16738.133769,True
2.2,30,16792.464483,True
2.8,30,16853.398414,True
2.9,30,16914.968392,True
0.0,30,16968.675803,False
0.0,30,17021.95227,False
0.0,30,17078.373731,False
2.8,30,17136.810249,True
0.0,30,17197.852704,False
2.6,30,17259.827129,True
2.6,30,17321.314383,True
2.5,30,17368.529979,True
2.7,30,17421.133539,True
0.0,30,17473.618455,False
0.0,30,17531.486683,False
0.0,30,17584.747625,False
2.6,30,17656.018602,True
0.0,30,17718.584968,False
0.0,30,17779.651363,False
0.0,30,17837.600883,False
2.1,30,17887.876476,True
0.0,30,17940.608377,False
3.0,30,18000.541819,True
0.0,30,18061.297219,False
2.2,30,18122.905982,True
0.0,30,18189.27259,False
0.0,30,18239.112689,False
0.0,30,18296.81699,False
0.0,30,18355.583412,False
0.0,30,18414.415415,False
2.3,30,18474.286566,True
2.8,30,18536.413858,True
0.0,30,18590.213261,False
2.7,30,18641.081986,True
0.0,30,18708.68538,False
0.0,30,19082.903362,False
2.8,30,19136.577549,True
2.7,30,19196.552744,True
0.0,30,19248.549949,False
0.0,30,19307.790309,False
0.0,30,19362.941452,False
0.0,30,19415.107543,False
0.0,30,19469.691454,False
2.6,30,19525.931168,True
2.8,30,19575.901525,True
0.9,30,19636.147207,True
1.2,30,19701.949716,True
0.0,30,19757.799983,False
0.0,30,19806.803776,False
0.3,30,19875.406583,True
0.0,30,19935.036116,False
2.5,30,19992.012395,True
0.0,30,20043.90191,False
2.7,30,20095.590732,True
0.0,30,20157.999695,False
0.0,30,20211.989603,False
0.0,30,20274.162862,False
0.0,30,20326.175865,False
0.0,30,20384.610285,False
2.5,30,20437.218052,True
2.8,30,20500.660643,True
0.0,30,20554.567742,False
0.3,30,20612.210214,False
0.0,30,20666.028279,False
0.0,30,20720.486295,False
0.0,30,20773.576816,False
3.0,30,20821.726424,True
2.6,30,20877.63754,True
0.0,30,20936.518287,False
1.1,30,21296.868613,True
1.2,30,21353.129997,False
0.0,30,21413.78999,False
0.0,30,21470.61006,False
2.3,30,21530.686491,True
0.0,30,21587.423991,False
2.5,30,21644.928521,True
0.0,30,21706.687408,False
0.4,30,21768.32208,True
2.3,30,21822.903203,True
2.2,30,21879.383641,True
2.1,30,21936.545608,True
2.4,30,21988.785063,True
0.0,30,22046.863683,False
0.0,30,22100.477055,False
2.3,30,22162.305157,True
2.4,30,22215.555525,True
0.0,30,22274.495739,False
0.0,30,22325.944008,False
0.2,30,22391.588309,False
2.5,30,22446.484219,True
0.0,30,22506.124215,False
0.0,30,22561.753943,False
0.0,30,22607.612729,False
0.0,30,22665.321003,False
2.6,30,22727.756775,True
2.8,30,22788.708193,True
2.5,30,22850.880335,True
2.9,30,22907.840266,True
2.5,30,22963.413993,True
0.0,30,23020.792464,False
0.0,30,23079.01945,False
0.0,30,23134.28792,False
2.8,30,23184.086766,True
2.3,30,23598.297244,True
2.5,30,23659.944538,True
0.0,30,23715.237888,False
0.0,30,23775.160592,False
0.0,30,23827.406228,False
0.0,30,23880.252048,False
0.0,30,23939.1301,False
0.0,30,23994.721975,False
2.8,30,24054.329787,True
0.0,30,24106.963206,False
0.0,30,24164.324894,False
2.6,30,24217.484635,True
2.0,30,24269.758217,True
0.0,30,24324.96056,False
2.7,30,24382.50461,True
1.8,30,24432.312534,True
0.0,30,24489.001582,False
2.9,30,24545.795286,True
2.5,30,24601.809444,True
0.0,30,24657.497082,False
0.0,30,24715.151366,False
0.0,30,24782.609384,False
0.0,30,24836.657591,False
2.7,30,24889.45049,True
2.4,30,24954.100004,True
0.0,30,25007.722896,False
1.9,30,25069.194817,True
0.1,30,25123.083398,False
0.0,30,25180.915193,False
3.0,30,25240.343802,True
0.0,30,25295.313149,False
2.7,30,25346.766305,True
0.0,30,25406.857376,False
0.0,30,25462.093298,False
0.0,30,25831.513609,False
2.2,30,25890.569824,True
3.0,30,25947.537354,True
2.8,30,26009.707372,True
2.3,30,26064.170233,True
0.4,30,26118.108962,False
0.0,30,26192.636833,False
2.7,30,26256.852145,True
1.2,30,26306.011167,True
0.0,30,26354.016613,False
0.0,30,26409.594701,False
1.9,30,26492.547565,True
0.0,30,26553.499352,False
0.0,30,26608.217322,False
2.7,30,26658.420672,True
0.0,30,26723.144069,False
0.0,30,26783.505729,False
0.0,30,26844.179956,False
0.0,30,26898.393028,False
0.0,30,26962.373103,False
0.0,30,27024.953236,False
0.0,30,27079.528483,False
0.0,30,27135.917468,False
0.0,30,27193.64928,False
0.0,30,27255.173505,False
0.0,30,27309.949325,False
3.0,30,27367.728031,True
2.1,30,27421.883101,True
2.8,30,27471.805041,True
2.8,30,27549.252633,True
2.7,30,27606.505494,True
0.0,30,27665.491086,False
0.9,30,27715.9329,True
0.0,30,27779.519002,False
0.0,30,28132.719685,False
0.0,30,28183.309,False
0.0,30,28239.895827,False
0.0,30,28299.322889,False
2.7,30,28388.008789,True
1.2,30,28451.880804,True
2.4,30,28508.465828,True
1.8,30,28574.598264,True
3.0,30,28639.516433,True
0.0,30,28696.173106,False
2.7,30,28751.329251,True
0.0,30,28824.283216,False
2.1,30,28877.338173,True
0.0,30,28933.499277,False
2.7,30,28989.145236,True
1.4,30,29049.560939,True
0.1,30,29108.8235,False
2.9,30,29157.895145,True
0.0,30,29217.769052,False
0.0,30,29285.255852,False
0.0,30,29339.627064,False
0.0,30,29398.111093,False
0.0,30,29464.445912,False
0.0,30,29514.546703,False
2.9,30,29565.684196,False
3.0,30,29621.398579,True
2.5,30,29675.025963,True
2.3,30,29727.562593,True
0.0,30,29787.204252,False
0.0,30,29842.358126,False
0.0,30,29904.645281,False
2.8,30,29962.462356,True
0.0,30,30015.396871,False
1.1,30,30068.755506,True
0.1,30,30424.916896,True
0.0,30,30477.608075,False
0.0,30,30535.419672,False
2.8,30,30595.240479,True
0.0,30,30656.865335,False
2.5,30,30718.583894,True
0.0,30,30773.858204,False
0.0,30,30832.290838,False
2.8,30,30894.729548,True
0.0,30,30957.457739,False
0.0,30,31025.535356,False
2.8,30,31080.614902,True
0.0,30,31139.276999,False
2.9,30,31197.173972,True
0.0,30,31252.218301,False
0.0,30,31320.310795,False
0.0,30,31383.441706,False
0.0,30,31441.44095,False
2.8,30,31499.105566,True
