Logging to logs/lh_train_1_after
--------------------------------------
| total_timesteps         | 327680   |
| value_loss              | 0.0306   |
| vf_grad_norm            | 3.29     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.63     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.49     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.27     |
| adv_max                 | 7.7      |
| adv_min                 | -6.75    |
| aux_task_loss           | 1.81     |
| clipped_ratio           | 0.207    |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.992    |
| cur_max_blocks          | 7        |
| entropy                 | 9.54     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.377    |
| eval_3_sr               | 0.586    |
| eval_5_sr               | 0.0547   |
| eval_7_sr               | 0        |
| fps                     | 27       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00228  |
| low_level_sr            | 0.37     |
| n_updates               | 5        |
| pi_grad_norm            | 5.69     |
| policy_loss             | -0.00505 |
| priority_max            | 0.809    |
| priority_mean           | 0.0242   |
| priority_std            | 0.0495   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 0.744    |
| serial_timesteps        | 5120     |
| success_rate            | 0.19     |
| supervision_action_loss | nan      |
| time_elapsed            | 1.44e+04 |
| total_timesteps         | 393216   |
| value_loss              | 0.0352   |
| vf_grad_norm            | 2.18     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.55     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.49     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.3      |
| adv_max                 | 6.92     |
| adv_min                 | -6.49    |
| aux_task_loss           | 1.82     |
| clipped_ratio           | 0.213    |
| cur2rec_max             | 1.01     |
| cur2rec_ratio           | 0.99     |
| cur_max_blocks          | 7        |
| entropy                 | 9.79     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.754    |
| eval_3_sr               | 0.477    |
| eval_5_sr               | 0.0156   |
