#{"t_start": 1770256123.561691, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
0.0,30,90.683633,False
1.6,30,152.542025,True
2.9,30,207.516676,True
3.0,30,270.244148,True
0.0,30,320.982479,False
0.0,30,382.344479,False
1.5,30,450.185392,True
0.0,30,495.62299,False
0.0,30,560.425227,False
0.0,30,626.050251,False
0.0,30,684.695426,False
0.0,30,748.271294,False
0.0,30,803.567577,False
3.0,30,860.505446,True
0.0,30,919.11266,False
0.0,30,981.387729,False
0.0,30,1044.154425,False
0.0,30,1104.452678,False
3.0,30,1174.489751,True
0.0,30,1250.832941,False
3.0,30,1322.639455,True
2.8,30,1375.225928,True
2.8,30,1434.751899,True
0.0,30,1496.608252,False
0.0,30,1563.634146,False
0.0,30,1627.747281,False
0.0,30,1691.383455,False
0.0,30,1755.078796,False
2.0,30,1817.600164,True
0.0,30,1886.035923,False
2.2,30,1957.993149,True
3.0,30,2027.019291,True
0.0,30,2093.237077,False
2.9,30,2145.327735,True
3.0,30,2556.280019,True
0.0,30,2613.6206,False
3.0,30,2678.193222,True
0.0,30,2740.444203,False
0.0,30,2798.229542,False
2.6,30,2862.016764,True
0.0,30,2923.069063,False
2.4,30,2985.5813,True
0.0,30,3051.976652,False
0.0,30,3121.37997,False
0.0,30,3184.457422,False
2.7,30,3245.608266,True
0.0,30,3312.854949,False
0.0,30,3369.811921,False
2.5,30,3437.284167,True
2.7,30,3496.916833,True
0.0,30,3562.638302,False
0.0,30,3624.793867,False
1.4,30,3682.621232,True
0.0,30,3739.203198,False
0.0,30,3800.855063,False
0.0,30,3860.889869,False
0.0,30,3923.093782,False
0.0,30,3983.244786,False
0.0,30,4035.163168,False
0.0,30,4087.272963,False
0.0,30,4151.362462,False
0.0,30,4209.350314,False
3.0,30,4274.262892,True
2.4,30,4336.188258,True
0.0,30,4404.393932,False
1.4,30,4460.37262,True
0.0,30,4517.807354,False
0.0,30,4577.241111,False
0.0,30,5056.847083,False
3.0,30,5117.838468,True
2.7,30,5166.081823,True
0.0,30,5219.200144,False
0.0,30,5287.235256,False
0.0,30,5350.24081,False
0.0,30,5411.147958,False
2.9,30,5472.593732,True
0.0,30,5526.965376,False
0.0,30,5576.590251,False
0.0,30,5634.727012,False
0.0,30,5703.258008,False
1.9,30,5756.543736,True
2.7,30,5817.410352,True
0.0,30,5872.282533,False
0.0,30,5929.638741,False
0.0,30,5984.852131,False
0.8,30,6045.934006,False
0.0,30,6098.025546,False
0.0,30,6155.489058,False
0.0,30,6221.048942,False
0.0,30,6282.750323,False
0.0,30,6347.722585,False
0.8,30,6402.259561,False
2.8,30,6457.756814,True
2.2,30,6520.521391,True
0.0,30,6584.036614,False
0.0,30,6639.780617,False
0.0,30,6694.100132,False
0.0,30,6755.80019,False
0.0,30,6829.430002,False
2.9,30,6882.519484,True
0.0,30,6938.412416,False
0.0,30,7003.590253,False
0.0,30,7422.943635,False
2.8,30,7480.313712,True
2.2,30,7541.288823,True
0.0,30,7600.415359,False
2.3,30,7647.861651,True
0.0,30,7693.067034,False
0.0,30,7750.14224,False
0.0,30,7811.273505,False
3.0,30,7860.033433,True
2.6,30,7927.016525,True
1.8,30,7984.692497,True
0.0,30,8046.09217,False
0.0,30,8105.67083,False
0.0,30,8158.738013,False
0.0,30,8220.468008,False
2.9,30,8268.949432,True
2.7,30,8332.952327,True
0.0,30,8388.384482,False
0.0,30,8448.792559,False
2.4,30,8512.343503,True
2.1,30,8569.384228,True
0.0,30,8629.318331,False
0.0,30,8687.718515,False
0.0,30,8741.360893,False
3.0,30,8801.53774,True
0.0,30,8858.531725,False
0.0,30,8919.929183,False
3.0,30,8974.617054,True
0.0,30,9045.543287,False
0.0,30,9098.226437,False
0.0,30,9169.324892,False
0.0,30,9235.734409,False
0.0,30,9281.997648,False
1.9,30,9338.137931,True
0.0,30,9718.728674,False
0.0,30,9779.72756,False
0.0,30,9842.688428,False
0.0,30,9902.475446,False
0.0,30,9964.545714,False
0.0,30,10022.797881,False
0.0,30,10094.565422,False
0.0,30,10150.198532,False
0.0,30,10201.458548,False
0.0,30,10260.666386,False
0.0,30,10321.847085,False
2.5,30,10390.279158,True
1.9,30,10448.274537,True
0.0,30,10518.880196,False
0.0,30,10587.875501,False
2.3,30,10651.654968,True
0.0,30,10718.215281,False
0.0,30,10769.419066,False
0.0,30,10833.290737,False
0.0,30,10892.665325,False
0.0,30,10950.834794,False
0.0,30,11011.514402,False
