#{"t_start": 1770256115.8986275, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
3.0,30,100.064088,True
0.0,30,160.288702,False
0.0,30,215.742299,False
0.0,30,277.116258,False
0.0,30,328.796655,False
0.0,30,390.165226,False
0.0,30,458.12326,False
2.0,30,503.119559,True
0.0,30,567.315661,False
1.6,30,633.645833,True
0.0,30,692.360372,False
2.4,30,757.203516,False
2.0,30,811.053518,True
0.0,30,867.526987,False
0.0,30,927.636766,False
0.0,30,988.792117,False
0.0,30,1051.443455,False
0.0,30,1112.121698,False
0.0,30,1181.816432,False
0.0,30,1257.794625,False
0.0,30,1329.794248,False
0.0,30,1382.985891,False
0.0,30,1443.050599,False
0.0,30,1505.399473,False
1.2,30,1570.620193,True
3.0,30,1635.812933,True
0.0,30,1698.570732,False
0.0,30,1762.856692,False
0.0,30,1825.342884,False
0.6,30,1895.359505,True
0.0,30,1965.697041,False
2.9,30,2034.528625,True
0.0,30,2100.074304,False
0.0,30,2153.46166,False
0.0,30,2563.708271,False
0.0,30,2620.801271,False
0.0,30,2684.949763,False
0.0,30,2748.015769,False
0.0,30,2806.376074,False
0.4,30,2869.674542,True
0.0,30,2929.918918,False
2.2,30,2992.616606,True
0.0,30,3059.51167,False
0.0,30,3128.779768,False
2.8,30,3191.863675,True
0.0,30,3253.459687,False
0.0,30,3320.724845,False
0.0,30,3377.354282,False
0.0,30,3445.208256,False
0.0,30,3504.861578,False
0.0,30,3570.082591,False
0.0,30,3632.520114,False
0.0,30,3690.90983,False
0.0,30,3746.821459,False
0.0,30,3808.462856,False
0.0,30,3868.436364,False
0.0,30,3930.804561,False
0.0,30,3990.913418,False
0.0,30,4043.493115,False
3.0,30,4096.754936,True
2.8,30,4159.984007,True
0.0,30,4216.526887,False
0.2,30,4280.925252,True
0.0,30,4343.013937,False
0.0,30,4411.972301,False
0.0,30,4468.235459,False
0.0,30,4525.461444,False
0.0,30,4586.261159,False
0.0,30,5064.307595,False
1.7,30,5125.478101,True
2.7,30,5173.723406,True
0.0,30,5226.720598,False
0.0,30,5294.851265,False
2.9,30,5358.287547,True
0.0,30,5419.202891,False
0.0,30,5478.485272,False
3.0,30,5533.497184,True
0.0,30,5584.743511,False
0.0,30,5642.155221,False
0.0,30,5710.211914,False
2.5,30,5764.231096,True
0.0,30,5825.269955,False
0.0,30,5880.103813,False
0.0,30,5937.313313,False
2.8,30,5992.722461,True
0.0,30,6053.50754,False
2.4,30,6105.535286,True
2.7,30,6162.795903,True
2.8,30,6228.494405,True
0.0,30,6290.193135,False
0.8,30,6354.79515,True
0.0,30,6409.913931,False
2.0,30,6465.394199,True
0.0,30,6528.333789,False
2.8,30,6591.558498,True
0.0,30,6648.03741,False
2.2,30,6701.42036,True
0.0,30,6762.81163,False
0.0,30,6836.943413,False
2.6,30,6890.131148,True
2.8,30,6945.83088,True
0.2,30,7010.963612,True
0.0,30,7431.003781,False
2.9,30,7487.389333,True
0.0,30,7549.078151,False
0.0,30,7608.611826,False
0.0,30,7655.651295,False
0.0,30,7700.733274,False
0.0,30,7757.152099,False
0.0,30,7818.343041,False
0.0,30,7866.608882,False
0.0,30,7934.780075,False
0.0,30,7994.08766,False
2.3,30,8053.343161,True
0.0,30,8113.378243,False
0.0,30,8166.554704,False
0.0,30,8228.911402,False
0.0,30,8277.120997,False
0.0,30,8340.783449,False
0.0,30,8395.878561,False
0.0,30,8456.608325,False
0.0,30,8520.176833,False
0.0,30,8576.744415,False
0.0,30,8636.551681,False
0.0,30,8695.504269,False
2.9,30,8749.621814,True
0.0,30,8809.884785,False
0.0,30,8866.075347,False
0.0,30,8927.352011,False
0.0,30,8982.528053,False
0.0,30,9053.20826,False
0.0,30,9105.96695,False
0.0,30,9177.570516,False
0.0,30,9243.49446,False
0.0,30,9289.499093,False
0.0,30,9345.869144,False
0.0,30,9725.723649,False
0.0,30,9787.44033,False
0.0,30,9850.280207,False
0.0,30,9910.095071,False
0.0,30,9972.170946,False
0.0,30,10030.402736,False
0.0,30,10102.203666,False
0.0,30,10157.952835,False
0.0,30,10209.149504,False
0.0,30,10267.775869,False
0.0,30,10329.538825,False
0.0,30,10398.922913,False
0.0,30,10456.603214,False
2.6,30,10526.396185,True
0.0,30,10595.638419,False
2.9,30,10660.013571,True
0.0,30,10725.857579,False
0.0,30,10779.11094,False
0.0,30,10840.469303,False
3.0,30,10900.349674,True
0.0,30,10958.336235,False
0.0,30,11019.337738,False
0.0,30,11081.188228,False
0.0,30,11143.478686,False
0.0,30,11202.902747,False
0.0,30,11263.966217,False
0.0,30,11316.231524,False
0.0,30,11369.70909,False
2.8,30,11426.630896,True
0.8,30,11484.374197,True
0.0,30,11546.343288,False
0.0,30,11609.429602,False
1.7,30,11663.85778,True
0.0,30,11716.478005,False
0.0,30,12131.133576,False
3.0,30,12194.212104,True
0.0,30,12259.68685,False
3.0,30,12309.260145,True
0.0,30,12367.874952,False
0.0,30,12422.545578,False
2.8,30,12493.734926,True
0.0,30,12556.112277,False
0.0,30,12612.471781,False
0.0,30,12673.957983,False
0.0,30,12730.064834,False
1.7,30,12780.467764,True
0.0,30,12839.232769,False
0.0,30,12892.704691,False
0.0,30,12953.053096,False
0.0,30,13013.980733,False
0.0,30,13078.359108,False
0.0,30,13133.372697,False
0.0,30,13184.000403,False
0.0,30,13239.604918,False
0.0,30,13291.518875,False
0.0,30,13355.707406,False
2.6,30,13415.459686,True
0.0,30,13468.439855,False
0.0,30,13532.618457,False
0.0,30,13589.388514,False
0.0,30,13648.604708,False
0.0,30,13703.202841,False
1.1,30,13767.037827,True
2.8,30,13832.742145,True
2.2,30,13891.498744,True
0.0,30,13952.341101,False
0.0,30,14013.202237,False
0.0,30,14066.853206,False
0.0,30,14478.969108,False
0.0,30,14536.207215,False
0.0,30,14600.548998,False
1.6,30,14665.759509,True
0.0,30,14714.065626,False
2.4,30,14765.307315,True
0.0,30,14815.285279,False
0.0,30,14868.247135,False
0.0,30,14926.77529,False
0.0,30,14983.394827,False
0.0,30,15042.191686,False
1.7,30,15078.68985,True
3.0,30,15134.664782,True
2.5,30,15185.750643,True
0.0,30,15241.196874,False
0.0,30,15299.769503,False
0.0,30,15351.121483,False
0.0,30,15405.19974,False
0.0,30,15461.283461,False
0.0,30,15507.724151,False
1.7,30,15559.61576,True
0.0,30,15615.655777,False
0.0,30,15679.402055,False
0.0,30,15738.164865,False
3.0,30,15801.279721,True
1.7,30,15857.079797,True
2.4,30,15913.587448,True
0.0,30,15972.494056,False
0.0,30,16032.039276,False
2.9,30,16080.355373,True
0.0,30,16143.184212,False
0.0,30,16195.998474,False
1.6,30,16258.911077,True
0.0,30,16320.616346,False
0.0,30,16743.599118,False
0.0,30,16797.395113,False
0.0,30,16858.372539,False
0.0,30,16919.94836,False
0.0,30,16974.163548,False
2.7,30,17026.06667,True
0.0,30,17083.247847,False
0.0,30,17141.715665,False
0.0,30,17203.494495,False
0.0,30,17265.085181,False
0.0,30,17326.323503,False
2.7,30,17373.327011,True
0.0,30,17426.271098,False
2.7,30,17477.874557,True
2.9,30,17536.149845,True
0.0,30,17589.808461,False
0.0,30,17661.137879,False
0.0,30,17724.100661,False
2.4,30,17784.199922,True
1.5,30,17841.856679,True
0.0,30,17892.749859,False
0.0,30,17945.666435,False
0.0,30,18005.700552,False
0.0,30,18065.511687,False
0.0,30,18128.446016,False
0.0,30,18193.454964,False
2.9,30,18243.848178,True
2.9,30,18301.459928,True
3.0,30,18360.154177,True
0.0,30,18419.159958,False
0.0,30,18479.222205,False
2.9,30,18541.220415,True
0.0,30,18595.0015,False
