#{"t_start": 1775616035.8033903, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
0.0,30,6.619108,False
0.0,30,8.725849,False
0.0,30,10.754768,False
0.0,30,12.833501,False
0.0,30,15.036541,False
0.0,30,17.386207,False
0.0,30,19.643142,False
0.0,30,21.749929,False
0.0,30,23.703416,False
0.0,30,25.808985,False
0.0,30,28.061408,False
0.0,30,30.270537,False
0.0,30,32.65798,False
0.0,30,35.084347,False
0.0,30,37.037762,False
0.0,30,39.096545,False
0.0,30,41.407272,False
0.0,30,43.392462,False
0.0,30,45.428557,False
0.0,30,47.478832,False
0.0,30,49.581174,False
0.0,30,51.495452,False
0.0,30,53.500937,False
0.0,30,55.998017,False
0.0,30,58.09418,False
0.0,30,60.545972,False
0.0,30,62.925209,False
0.0,30,64.999243,False
0.0,30,67.06416,False
0.0,30,69.197954,False
0.1,22,70.829185,True
