#{"t_start": 1775616035.7787492, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
0.0,30,6.68235,False
0.0,30,8.746831,False
0.0,30,10.755846,False
0.0,30,12.892656,False
0.0,30,15.061089,False
0.0,30,17.445273,False
0.0,30,19.693198,False
0.0,30,21.742031,False
0.0,30,23.72325,False
0.0,30,25.851974,False
0.0,30,28.057791,False
0.0,30,30.296474,False
0.0,30,32.688768,False
0.0,30,35.121667,False
0.0,30,37.034392,False
0.0,30,39.122868,False
0.0,30,41.431126,False
0.0,30,43.417572,False
0.0,30,45.488543,False
0.0,30,47.498139,False
0.0,30,49.601528,False
0.0,30,51.50907,False
0.0,30,53.515116,False
0.0,30,56.029451,False
0.0,30,58.115027,False
0.0,30,60.535656,False
0.0,30,62.952089,False
0.0,30,65.02171,False
0.0,30,67.086873,False
0.0,30,69.226792,False
